ID,condition,Dyad,A_or_B,gender,familiar,familiar_group,gender_group,cq,ts,tp,X,profile,maxrec,maxlag
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-7,0.337758392,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-6,0.345657945,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-5,0.344454976,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-4,0.341357089,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-3,0.340534395,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-2,0.339522546,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,-1,0.345330555,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,0,0.343181818,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,1,0.348172002,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,2,0.352027283,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,3,0.348114459,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,4,0.343821077,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,5,0.338199052,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,6,0.33447099,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,7,0.33415513,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,8,0.338391502,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,9,0.338645418,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,10,0.34516129,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,11,0.342379958,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,12,0.346621109,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,13,0.343269413,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,14,0.342575009,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,15,0.343779677,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,16,0.339855623,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,17,0.336880106,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,18,0.338464462,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,19,0.344421213,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,20,0.342775665,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,21,0.343981746,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,22,0.344427539,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,23,0.343541944,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,24,0.347031963,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,25,0.340247383,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,26,0.338599163,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,27,0.338473253,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,28,0.338347296,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,29,0.34069701,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,30,0.339047619,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,31,0.336445037,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,32,0.332698171,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,33,0.337716791,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,34,0.337399924,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,35,0.337082936,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,36,0.337909992,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,37,0.33702079,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,38,0.333651278,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,39,0.329326464,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,40,0.333206107,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,41,0.335369345,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,42,0.337342497,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,43,0.335688371,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,44,0.331359817,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,45,0.33199618,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,46,0.332632786,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,47,0.32963883,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,48,0.333333333,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,49,0.333397056,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,50,0.331739962,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,51,0.326448652,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,52,0.336840092,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,53,0.333460876,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,54,0.329314964,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,55,0.324593301,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,56,0.32254977,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,57,0.327780969,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,58,0.327652241,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,59,0.328864202,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,60,0.32835249,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,61,0.323816823,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,62,0.323112304,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,63,0.327966264,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,64,0.32726227,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,65,0.32464046,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,66,0.321634062,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,67,0.318626511,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,68,0.320222563,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,69,0.318940702,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,70,0.320345489,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,71,0.319831062,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,72,0.318164363,0.35871017,112
s1,0ms,d1,A,Male,Yes,High-High,Male-Female,4,4,1,73,0.314192433,0.35871017,112
